id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_self_rating_hr,access.self.rating.hr,hr_appraisal_extended.model_self_rating,hr_appraisal.group_hr_appraisal_user,1,1,1,1
access_self_rating_manager,access.self.rating.manager,hr_appraisal_extended.model_self_rating,hr_appraisal.group_hr_appraisal_manager,1,1,1,0
access_self_rating_user,access.self.rating.user,hr_appraisal_extended.model_self_rating,base.group_user,1,1,0,0
access_self_rating_kra,access.self.rating.kra,hr_appraisal_extended.model_self_rating_kra,,1,1,1,1
access_self_rating_assessment_kra,access.self.rating.assessment.kra,hr_appraisal_extended.model_self_rating_assessment_kra,,1,1,1,1
access_self_rating_development_plan,access.self.rating.development.plan,hr_appraisal_extended.model_self_rating_development_plan,,1,1,1,1
access_hr_pip_hr,access.hr.pip.hr,hr_appraisal_extended.model_hr_pip,hr_appraisal.group_hr_appraisal_user,1,1,1,1
access_hr_pip_manager,access.hr.pip.manager,hr_appraisal_extended.model_hr_pip,hr_appraisal.group_hr_appraisal_manager,1,1,1,1
access_hr_pip_user,access.hr.pip.user,hr_appraisal_extended.model_hr_pip,base.group_user,0,0,0,0
access_hr_pip_improvement_goal,access.hr.pip.improvement.goal,hr_appraisal_extended.model_hr_pip_improvement_goal,,1,1,1,1
access_hr_pip_activity_goal,access.hr.pip.activity.goal,hr_appraisal_extended.model_hr_pip_activity_goal,,1,1,1,1
access_hr_pip_resource,access.hr.pip.resource,hr_appraisal_extended.model_hr_pip_resource,,1,1,1,1
access_hr_pip_expectation,access.hr.pip.expectation,hr_appraisal_extended.model_hr_pip_expectation,,1,1,1,1
access_hr_pip_progress,access.hr.pip.progress,hr_appraisal_extended.model_hr_pip_progress,,1,1,1,1
access_hr_pip_activity,access.hr.pip.activity,hr_appraisal_extended.model_hr_pip_activity,,1,1,1,1
access_perform_review_kra,access.perform.review.kra,hr_appraisal_extended.model_performance_review_kra,,1,1,1,1
access_perform_review_comment,access.perform.review.comment,hr_appraisal_extended.model_performance_review_comment,,1,1,1,1
access_manager_rating,access.manager.rating,hr_appraisal_extended.model_manager_rating,,1,1,1,1
access_performance_config,access.performance.config,hr_appraisal_extended.model_performance_config,,1,1,1,1
access_threeperformance_review_line,access.threeperformance.review.line,hr_appraisal_extended.model_threeperformance_review_line,,1,1,1,1
access_threeperformance_review_hr,access.threeperformance.review.hr,hr_appraisal_extended.model_threeperformance_review,hr_appraisal.group_hr_appraisal_user,1,1,1,1
access_threeperformance_review_manager,access.threeperformance.review.manager,hr_appraisal_extended.model_threeperformance_review,hr_appraisal.group_hr_appraisal_manager,1,1,1,1
access_threeperformance_review_user,access.threeperformance.review.user,hr_appraisal_extended.model_threeperformance_review,base.group_user,1,0,0,0
access_perform_review_line,access.perform.review.line,hr_appraisal_extended.model_performance_review_line,,1,1,1,1
access_perform_refuse,access.perform.refuse,hr_appraisal_extended.model_performance_review_refuse_popup,,1,1,1,1
access_salary_master,access.salary.master,hr_appraisal_extended.model_salary_master,,1,1,1,1
